678.68,1.5011,0.9952,121.49,58.369,122.53,2.8804,1.9189,1.0383,0.104,0.16,1.8571,0.064,0.104,1.6,0.032,0.048,2,0,0.016,0,0,0.016,0,0,0.016,0,-0.8888,-1.1112
646.98,1.499,0.8432,122.06,63.266,116.74,2.8328,1.8899,1.0559,0.112,0.176,1.75,0.072,0.12,1.5,0.048,0.08,1.5,0,0.032,0,0,0.032,0,0,0.032,0,-0.89156,-1.1084
673.66,1.4339,0.7296,106.58,59.763,113.46,2.862,1.9959,1.0557,0.072,0.112,1.8,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,0,0.04,0,-0.8872,-1.1128
636.64,1.5166,1.1344,129.27,59.356,116.74,2.9345,1.9349,1.1431,0.096,0.152,1.7143,0.056,0.096,1.4,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,-0.88711,-1.1129
957.62,1.0543,2.0768,105.44,66.606,129.93,2.8711,2.7232,1.1138,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,0,-0.32,-0,-1.336,-0.664
621.85,1.5162,0.8816,116.38,70.223,110.71,2.9048,1.9158,1.1139,0.096,0.152,1.7143,0.056,0.096,1.4,0.016,0.024,2,0,0.008,0,0,0.008,0,0,0.008,0,-0.88978,-1.1102
646.94,1.4109,1.0128,118.47,72.994,107.15,2.7468,1.9469,1.0286,0.096,0.16,1.5,0.056,0.096,1.4,0.024,0.048,1,0,0.024,0,0,0.024,0,0,0.024,0,-0.888,-1.112
754.38,1.3713,1.1152,113.52,69.967,111.12,2.6356,1.9219,0.76449,0,0.152,0,0,0.152,0,0,0.152,0,0,0.152,0,0,0.152,0,0,0.152,0,-0.90764,-1.0924
825.96,1.3005,1.0208,111.47,75.2,109.1,2.4302,1.8686,0.59189,0,-0.088,-0,0,-0.088,-0,0,-0.088,-0,0,-0.088,-0,0,-0.088,-0,0,-0.088,-0,-0.90982,-1.0902
1055.5,1.1372,1.2368,139.96,39.463,115.17,2.5746,2.2639,0.56163,0,0.208,0,0,0.208,0,0,0.208,0,0,0.208,0,0,0.208,0,0,0.208,0,-0.894,-1.106
1001,1.2825,1.272,109.25,50.93,115.18,2.5025,1.9513,0.46394,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.89354,-1.1065
647.54,1.5023,0.6816,132.92,44.142,115.6,2.9093,1.9366,1.0959,0.088,0.112,3.6667,0.048,0.072,2,0,0.024,0,0,0.024,0,0,0.024,0,0,0.024,0,-1.3536,-0.6464
746.99,1.397,1.04,102.57,55.825,114.52,2.4722,1.7697,0.68135,0.112,0.176,1.75,0.08,0.12,2,0.056,0.088,1.75,0,0.032,0,0,0.032,0,0,0.032,0,-0.8936,-1.1064
745.14,1.3088,0.8592,104.15,76.604,102.83,2.7282,2.0845,0.85297,0.224,0.296,3.1111,0.104,0.16,1.8571,0.08,0.12,2,0,0.04,0,0,0.04,0,0,0.04,0,-0.8832,-1.1168
728.98,1.4179,1.2032,107.87,67.432,112.19,2.7398,1.9323,0.8356,0.112,0.168,2,0.056,0.088,1.75,0.024,0.032,3,0,0.008,0,0,0.008,0,0,0.008,0,-0.8968,-1.1032
883.82,1.2632,1.1472,108.34,64.071,112.36,2.5656,2.0311,0.62903,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,0,-0.192,-0,-0.90667,-1.0933
608.01,1.4897,1.1568,120.36,57.08,104.92,2.9344,1.9698,1.1673,0.096,0.16,1.5,0.064,0.104,1.6,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,-0.88,-1.12
625.33,1.9253,0.6128,109.56,43.205,129.54,2.6292,1.3656,0.65482,0.288,0.384,3,0.16,0.232,2.2222,0.112,0.176,1.75,0.024,0.04,1.5,0,0.016,0,0,0.016,0,-0.88436,-1.1156
722.83,1.3914,0.4368,102.21,43.755,114.41,2.7841,2.0009,0.92927,0.128,0.208,1.6,0.064,0.112,1.3333,0.032,0.056,1.3333,0,0.024,0,0,0.024,0,0,0.024,0,-0.87111,-1.1289
277.95,1.3388,0.48,111.9,59.681,61.701,0.69753,0.52102,0.22981,0.112,0.192,1.4,0.056,0.104,1.1667,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,-0.86857,-1.1314
277.95,1.3388,0.48,111.9,59.681,61.701,0.69753,0.52102,0.22981,0.112,0.192,1.4,0.056,0.104,1.1667,0,0.048,0,0,0.048,0,0,0.048,0,0,0.048,0,-0.86857,-1.1314
296.06,1.4483,0.592,120.96,77.032,92.609,0.67896,0.46879,0.24612,0.104,-0.472,-0.18056,0.056,-0.52,-0.097222,0.016,-0.56,-0.027778,0,-0.576,-0,0,-0.576,-0,0,-0.576,-0,-1.3822,-0.61778
287.9,1.4191,0.912,125.81,75.342,85.696,0.72727,0.5125,0.28784,0.08,0.136,1.4286,0.032,0.048,2,0,0.016,0,0,0.016,0,0,0.016,0,0,0.016,0,-0.866,-1.134
290.61,1.4763,0.7808,117.08,74.76,92.762,0.73412,0.49728,0.28791,0.104,0.168,1.625,0.064,0.104,1.6,0.024,0.04,1.5,0,0.016,0,0,0.016,0,0,0.016,0,-0.859,-1.141
288.46,1.478,1.5488,133.91,80.403,93.461,0.74263,0.50244,0.30056,0.112,0.192,1.4,0.072,0.128,1.2857,0.04,0.072,1.25,0,0.032,0,0,0.032,0,0,0.032,0,-0.86629,-1.1337
284.04,1.323,1.27,113.71,76.369,71.203,0.66122,0.49979,0.23367,0.088,-0.384,-0.18644,0.048,-0.424,-0.10169,0,-0.472,-0,0,-0.472,-0,0,-0.472,-0,0,-0.472,-0,-1.3742,-0.62578
299.14,1.4463,1.392,115.3,73.836,94.952,0.73356,0.50719,0.28934,0.088,0.144,1.5714,0.04,0.064,1.6667,0,0.024,0,0,0.024,0,0,0.024,0,0,0.024,0,-0.869,-1.131
290.01,1.5029,1.88,127.45,78.702,94.937,0.73106,0.48644,0.28312,0.104,0.176,1.4444,0.064,0.112,1.3333,0.04,0.072,1.25,0,0.032,0,0,0.032,0,0,0.032,0,-0.87022,-1.1298
